u,v,y
42,728,2121.0027
24,439,3916.0107
24,447,3312.0098
35,614,5617.015
2,82,3012.009
24,436,1420.0012
22,414,6028.0195
28,503,5912.0117
27,490,3520.0088
40,690,7373.0254
39,683,4822.0146
14,277,1504.0026
23,419,2911.0085
40,692,3369.0078
26,466,2026.0015
28,502,3413.0098
5,131,2805.0117
41,706,2220.003
48,831,3903.01
23,420,5814.02
19,361,2430.0034
28,500,7230.0234
3,102,4617.0127
45,778,1508.0026
21,392,3062.0073
33,590,2805.0095
16,317,2870.0051
6,156,4004.0166
7,172,5811.02
24,446,1121.0016
49,844,5638.0186
33,583,2507.0085
24,434,4875.0137
6,155,1309.0013
16,316,2019.0015
21,397,2506.0085
11,240,2277.0046
43,738,2022.0028
42,727,4615.009
2,89,5115.017
21,389,5423.018
11,238,2983.0073
25,453,1851.0028
32,575,1121.0016
11,239,2805.0095
5,137,6918.012
30,533,4064.0098
0,55,1660.002
37,647,3521.011
47,810,2807.0095
27,492,2830.004
44,761,2815.0056
24,435,1613.0022
20,382,1312.0013
22,409,2511.0046
36,640,1404.0032
31,554,5814.02
48,818,5480.0176
23,425,3004.0105
7,164,1305.0013
10,220,3613.0107
7,173,2112.0024
18,351,1267.0023
38,665,3875.007
37,652,4424.014
45,783,4516.012
31,558,5162.0156
37,649,1557.0021
13,271,3807.014
40,704,6525.0254
6,161,2808.0056
29,525,2106.0073
30,534,3229.0046
20,379,2262.0063
17,329,2972.0088
17,327,3420.0056
21,399,2825.0056
47,812,6615.0244
11,237,6031.019
4,115,2213.0024
48,828,2810.0095
38,661,3818.01
36,633,4712.017
4,119,2409.0034
25,460,5109.018
43,739,3107.0088
39,687,5323.018
11,227,5265.009
49,836,1412.0032
7,167,1003.00055
36,636,8131.0186
23,422,3576.0066
0,60,3859.0112
39,678,4071.0098
41,719,7175.021
3,113,4215.0107
31,550,2263.0046
0,51,3805.0117
2,92,4160.011
39,684,3121.005
33,579,1505.0026
10,217,5818.02
4,126,3729.0093
19,363,4820.014
18,346,1711.001
31,552,1206.0006
30,540,4568.0107
45,770,4713.017
33,593,5612.0195
40,691,3880.0085
46,800,2117.0024
38,667,3927.01
18,340,2409.0034
13,262,5161.0176
34,605,1808.0017
48,822,5816.02
42,722,2336.0022
19,367,1057.0017
3,107,5020.013
33,585,3724.0105
17,322,1059.0017
0,65,5476.0176
27,482,6088.0225
31,553,2420.0034
38,671,4242.011
8,187,2110.0024
43,752,4882.013
17,337,4273.0127
28,501,4811.0176
33,578,3013.0034
18,350,3357.0068
47,802,5569.0176
38,672,2472.0068
12,245,5241.0127
2,84,4016.0117
17,336,2506.0085
19,364,3609.0105
34,597,4212.0127
20,383,2970.005
11,232,3009.0105
